	SRR33467998	SRR33467999	SRR33468000	SRR33468001	SRR33468002	SRR33468003	SRR33468004	SRR33468005	SRR33468006
ENSG00000084754	127.384477	118.5267017828	126.361265	124.237964	124.75131339831	119.86595	116.925627003599	122.637599	117.68741
ENSG00000084764	8.26109	11.037705	7.92066	10.442131	7.76668	7.909355	11.85258	9.19913	11.20121794
ENSG00000084774	34.156082	39.0795670382861	36.99167	36.897151	32.957356	41.59521	39.494307	33.075184	34.736245441
ENSG00000085063	938.664373	902.882485	976.480398	980.328564	967.611384	950.688365	906.80832	1003.356199	892.806255
ENSG00000085117	195.1998	150.79107	166.422278	171.11324	170.44516	165.93283	198.2629634	161.07234	159.968134
ENSG00000085185	7.04615	6.29382	5.616222	8.159217	7.214844	5.361565	5.721785	5.180895	3.996983
ENSG00000085224	31.6774373	29.9661474	31.6578947	25.89118761441	29.0878756	30.380565	24.5012114098	26.40916818488	27.88013664756
ENSG00000085231	6.950722	13.068935912	5.977936454229	19.06158	13.5733600048598	12.836996	13.8551	10.1756200102446	2.72996
ENSG00000085265	0	0.0827956	0	0.0376621	0	0	0	0	0
ENSG00000085274	9.598692	9.3980875015	8.92063	8.62637	8.11081	9.02548	7.5238	7.510908	8.481927
ENSG00000085276	15.38947	19.346929940055	16.495022	14.447578604813	13.08952	12.597155	13.67856204072	12.125826607	13.135744
ENSG00000085365	44.395002	42.10078	46.84778	44.4538	47.50109	40.40964	42.55033	34.24548	36.05486
ENSG00000085377	24.767092	24.83123	22.3275	25.19669	24.73803	25.96928	23.91835	21.79048	24.06009
ENSG00000085382	6.551621	5.7236291517651	6.243687	8.1973632	6.673433	5.376489	5.254588	6.12047	7.6233
ENSG00000085415	23.566656	26.7313063	34.680037	27.308315	24.3143454	25.880207	25.398703	30.284279	22.820548
ENSG00000085433	13.588271	13.15536	14.821095	14.93405	15.15945	12.27363	16.36222	17.404906	13.86795
ENSG00000085449	48.08228	48.98675	51.21341	53.5181	40.73136	42.97089	40.20161	44.84418	40.37316
ENSG00000085465	0.165655	0.80608	0.778841	1.10007	0.563075	0.279612	0.456883	0	0.655947
ENSG00000085491	22.988656	20.572867	21.405737	21.341272	20.52166	20.401895	19.3009220487827	20.338159	18.582462
ENSG00000085511	17.389756	21.371272	18.860026925	14.57264	14.283294	17.0603200585596	16.793916	12.916561	11.893476
ENSG00000085514	0.818642	0.460301	0.915652	0.428346	0.65419	0	0	0	0.822404
ENSG00000085552	0	0.0829483	0	0	0.0823639	0.0819146	0	0.0755437	0.0713414
ENSG00000085563	11.106845	8.407761	9.95025	8.40055948	10.521924	15.73691705962	9.199531	10.391971	9.91832
ENSG00000085644	12.847969	15.458744	14.111177	14.183369	18.618474	15.868221	16.102836	14.918875	16.653259
ENSG00000085662	222.78489	220.49651	245.81313	217.056997	243.94309	233.85562	230.537204	235.734216	195.17227
ENSG00000085719	52.49187	37.53899	44.21675	44.27854	47.94380719	41.49517	43.03262	40.960507	39.55228
ENSG00000085721	29.58811	16.345427	21.58581	22.196578	23.6382	23.146214	22.173104	9.79251	18.605267
ENSG00000085733	127.905284	139.50142	126.47532	124.604749	120.207099	129.657997	134.789067	128.875957	132.926388
ENSG00000085741	0	0.169429	0	0	0.332608	0	1.51617	0.153425	0
ENSG00000085760	20.72128	20.93819	19.044075	16.763721	19.70886149	15.357064314	18.20899	17.94656	22.930705
ENSG00000085788	26.077116	35.633864	41.144983	31.421945	43.908851	29.142593	33.118507	27.29147952	29.914528
ENSG00000085831	0.486061	1.342272	0.9086179	2.15152	5.5920116	1.2589328338	0.502514	5.7741685	2.6541492
ENSG00000085832	22.672276	16.67826	22.552457	17.597779	16.296147	19.16732	19.96699	18.148768	17.392877
ENSG00000085840	4.47219	3.56216	4.2355122298	3.63607	4.51508	4.46184	4.457617	5.45345	5.27709
ENSG00000085871	35.699014	46.066099	37.25271	43.457149	43.32045	42.75293	35.524423	47.23899	36.292684
ENSG00000085872	38.589531	40.339588	35.4475675	39.26894	37.83252	36.275977	44.31521	35.053037	40.34845
ENSG00000085978	9.62798200178027	11.880233	7.17351	10.877078	10.43862307	9.97683	9.641758331312	10.241266	10.880364
ENSG00000085982	16.054341	25.233765	18.0282870014769	15.54403	17.950767096	23.352908157179	14.427229	25.528925	18.566377
